
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
88:75:56:87:2E:00, 2018-04-24 14:39:20, 2018-04-24 14:39:20,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
88:75:56:87:60:F2, 2018-04-24 14:39:20, 2018-04-24 14:39:20,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:72:24, 2018-04-24 14:38:41, 2018-04-24 14:39:21,  6,  54, OPN, ,   , -71,        5,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:6E:91:C2, 2018-04-24 14:39:22, 2018-04-24 14:39:22, -1,  -1, , ,   , -72,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:72:20, 2018-04-24 14:37:48, 2018-04-24 14:39:23,  6,  54, OPN, ,   , -74,        9,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
20:3A:07:6F:50:42, 2018-04-24 14:37:19, 2018-04-24 14:39:12,  6,  54, WPA2, CCMP, MGT, -74,       14,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:6F:52:F0, 2018-04-24 14:39:01, 2018-04-24 14:39:01,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
20:3A:07:6F:5E:72, 2018-04-24 14:38:57, 2018-04-24 14:38:57,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:57:CC:50, 2018-04-24 14:37:18, 2018-04-24 14:39:46,  6,  54, OPN, ,   , -74,        4,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
20:3A:07:6F:60:B0, 2018-04-24 14:38:48, 2018-04-24 14:38:48,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
88:75:56:87:87:50, 2018-04-24 14:38:47, 2018-04-24 14:38:47,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
88:75:56:87:73:E0, 2018-04-24 14:38:47, 2018-04-24 14:38:47,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
20:3A:07:48:1F:E4, 2018-04-24 14:38:45, 2018-04-24 14:38:45,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:5E:7D, 2018-04-24 14:38:34, 2018-04-24 14:38:34,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:48:24:00, 2018-04-24 14:38:13, 2018-04-24 14:38:13,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
